GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-test-izertis,com.enterprise.ppardal.shared.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
java-test-izertis,com.enterprise.ppardal.shared.config,SharedConfig,0,64,0,0,0,18,0,4,0,4
java-test-izertis,com.enterprise.ppardal.infrastructure.adapter.persistence,PricesRepositoryAdapter,0,10,0,0,0,1,0,1,0,1
java-test-izertis,com.enterprise.ppardal.infrastructure.adapter.api,GlobalControllerAdvice,0,29,0,0,0,5,0,4,0,4
java-test-izertis,com.enterprise.ppardal.infrastructure.adapter.api,PricesControllerAdapter,0,9,0,0,0,2,0,1,0,1
java-test-izertis,com.enterprise.ppardal.shared.config.deserializer,StrictOffsetDateTimeDeserializer,0,26,0,2,0,8,0,3,0,2
java-test-izertis,com.enterprise.ppardal.application.service,PricesService,5,64,0,4,0,19,1,5,1,3
java-test-izertis,com.enterprise.ppardal.infrastructure.adapter.persistence.mapper,PricesPersistenceMapper,0,33,0,6,0,7,0,6,0,3
java-test-izertis,com.enterprise.ppardal,TestJavaIzertisApplication,5,3,0,0,2,1,1,1,1,1
java-test-izertis,com.enterprise.ppardal.domain.exception,PriceNotFoundException,0,4,0,0,0,2,0,1,0,1
java-test-izertis,com.enterprise.ppardal.application.config,ApplicationConfig,0,8,0,0,0,2,0,2,0,2
java-test-izertis,com.enterprise.ppardal.infrastructure.adapter.api.mapper,PricesApiMapper,0,11,0,2,0,3,0,2,0,1
java-test-izertis,com.enterprise.ppardal.infrastructure.config,InfrastructureConfig,0,9,0,0,0,2,0,2,0,2
